Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Boston Bruins,29.6,60,47,8,5,99,0.825,224,126,2,3,1.63,0.01,3.73,2.1,48,205,23.41,27,203,86.7,5,4,10.1,9.9,1976,11.3,1786,0.929,5
2,Carolina Hurricanes,29.2,58,39,11,8,86,0.741,195,149,3,2,0.79,-0.02,3.36,2.57,37,191,19.37,34,197,82.74,11,5,8.1,7.8,2040,9.6,1533,0.903,6
3,New Jersey Devils,26.6,59,39,15,5,83,0.703,207,155,1,2,0.83,-0.03,3.51,2.63,35,171,20.47,33,178,81.46,6,5,8.3,8.6,2022,10.2,1669,0.907,3
4,Toronto Maple Leafs,28.3,60,37,15,8,82,0.683,207,157,0,1,0.77,-0.05,3.45,2.62,46,182,25.27,33,178,81.46,6,4,7.9,8.3,1932,10.7,1736,0.91,4
5,Tampa Bay Lightning,29.8,60,37,19,4,78,0.65,211,178,2,2,0.51,-0.04,3.52,2.97,53,207,25.6,35,188,81.38,2,10,11.1,11.7,1931,10.9,1895,0.906,3
6,New York Rangers,27.4,60,34,17,9,77,0.642,198,166,3,2,0.55,0,3.3,2.77,42,185,22.7,36,170,78.82,7,3,7.8,9.3,1924,10.3,1748,0.905,1
7,Vegas Golden Knights,28.7,60,35,19,6,76,0.633,189,166,3,3,0.31,-0.08,3.15,2.77,32,153,20.92,30,147,79.59,7,2,6.5,7.4,1965,9.6,1824,0.909,2
8,Los Angeles Kings,28.7,62,34,20,8,76,0.613,205,210,6,1,0.01,0.01,3.31,3.39,53,207,25.6,51,210,75.71,5,7,8.8,9.5,1998,10.3,1762,0.881,2
9,Dallas Stars,28.2,60,31,16,13,75,0.625,192,156,3,3,0.57,-0.03,3.2,2.6,41,182,22.53,32,190,83.16,7,3,8.5,8.6,1939,9.9,1868,0.916,5
10,Minnesota Wild,29,61,34,21,6,74,0.607,170,164,7,3,0.11,-0.05,2.79,2.69,44,187,23.53,34,192,82.29,8,2,11.3,11.6,1906,8.9,1837,0.911,3
11,Colorado Avalanche,27.9,58,34,19,5,73,0.629,181,154,4,3,0.5,0.02,3.12,2.66,43,187,22.99,40,180,77.78,5,2,8.7,9.3,1932,9.4,1869,0.918,4
12,Edmonton Oilers,27.8,61,32,21,8,72,0.59,232,200,0,4,0.38,-0.08,3.8,3.28,67,210,31.9,53,217,75.58,11,5,9,9.2,2043,11.4,1930,0.896,0
13,Seattle Kraken,29,60,33,21,6,72,0.6,208,189,0,3,0.28,0.02,3.47,3.15,34,172,19.77,46,173,73.41,3,8,8.1,8.2,1790,11.6,1672,0.887,3
14,Winnipeg Jets,28.4,61,35,24,2,72,0.59,186,164,1,1,0.29,-0.07,3.05,2.69,42,198,21.21,27,174,84.48,5,4,8.4,9.2,1829,10.2,1894,0.913,3
15,New York Islanders,29.2,64,31,25,8,70,0.547,184,171,0,5,0.17,0.05,2.88,2.67,30,178,16.85,32,183,82.51,4,5,8.6,8.3,1953,9.4,2029,0.916,7
16,Pittsburgh Penguins,30.8,60,30,21,9,69,0.575,194,190,1,1,0.13,0.06,3.23,3.17,44,206,21.36,38,191,80.1,5,5,8.3,9.1,2023,9.6,2032,0.906,1
17,Calgary Flames,29.6,61,27,21,13,67,0.549,192,188,1,3,0.05,0.01,3.15,3.08,39,196,19.9,41,212,80.66,6,3,10.2,9.1,2183,8.8,1640,0.885,0
18,Buffalo Sabres,26.1,59,31,24,4,66,0.559,222,207,1,1,0.22,-0.04,3.76,3.51,50,199,25.13,47,170,72.35,8,4,7.8,8.6,1917,11.6,1943,0.893,1
19,Florida Panthers,28.4,62,30,26,6,66,0.532,212,213,2,1,0.07,0.07,3.42,3.44,45,210,21.43,58,226,74.34,5,7,12,11.2,2275,9.3,2003,0.894,2
20,Washington Capitals,31,62,29,27,6,64,0.516,187,185,1,2,0.06,0.05,3.02,2.98,40,188,21.28,30,168,82.14,4,5,8,9.1,1952,9.6,1869,0.901,5
21,Ottawa Senators,27.6,60,30,26,4,64,0.533,187,188,2,0,0.02,0,3.12,3.13,58,228,25.44,38,220,82.73,6,6,11.3,11.5,1989,9.4,1913,0.902,3
22,Nashville Predators,28.7,58,29,23,6,64,0.552,167,173,3,1,-0.13,-0.06,2.88,2.98,34,184,18.48,38,200,81,3,6,10.2,9.4,1775,9.4,1950,0.911,1
23,Detroit Red Wings,27.1,60,28,24,8,64,0.533,180,193,2,3,-0.22,0.01,3,3.22,43,212,20.28,40,178,77.53,3,10,8.1,9,1722,10.5,1849,0.896,3
24,St. Louis Blues,29.3,60,26,29,5,57,0.475,180,219,3,1,-0.58,0.04,3,3.65,35,176,19.89,35,149,76.51,6,8,7.2,7.8,1729,10.4,1946,0.887,3
25,Philadelphia Flyers,26.8,61,23,28,10,56,0.459,160,201,1,1,-0.61,0.06,2.62,3.3,27,173,15.61,41,171,76.02,10,8,10.4,9.8,1789,8.9,1911,0.895,2
26,Montreal Canadiens,27.1,60,26,30,4,56,0.467,162,215,4,0,-0.81,0.01,2.7,3.58,30,182,16.48,53,204,74.02,3,3,12.2,9.7,1677,9.7,2025,0.894,1
27,Vancouver Canucks,27.4,60,24,31,5,53,0.442,201,238,3,2,-0.53,0.07,3.35,3.97,46,202,22.77,59,177,66.67,7,11,9.1,10.1,1840,10.9,1873,0.873,0
28,Arizona Coyotes,26.5,60,21,30,9,51,0.425,161,209,3,3,-0.83,-0.03,2.68,3.48,34,179,18.99,56,224,75,4,2,10.9,8.9,1549,10.4,2117,0.901,4
29,San Jose Sharks,29.6,61,18,31,12,48,0.393,179,220,1,6,-0.8,-0.05,2.93,3.61,30,163,18.4,29,180,83.89,2,9,8.2,8.1,1828,9.8,1907,0.885,3
30,Chicago Blackhawks,28.8,60,21,34,5,47,0.392,148,215,2,2,-1.15,-0.03,2.47,3.58,31,174,17.82,41,175,76.57,6,8,9.2,8.9,1620,9.1,2030,0.894,1
31,Anaheim Ducks,28.2,61,20,34,7,47,0.385,153,249,3,3,-1.52,0.05,2.51,4.08,28,177,15.82,58,214,72.9,1,5,12,10.4,1781,8.6,2416,0.897,1
32,Columbus Blue Jackets,26.7,61,20,35,6,46,0.377,158,224,1,1,-1,0.09,2.59,3.67,27,161,16.77,43,186,76.88,5,7,8.4,7.1,1785,8.9,2138,0.895,0
,League Average,28.4,60,30,23,7,67,0.557,189,189,,,,,,,40,188,21.38,40,188,78.62,6,6,9.1,9.1,1894,10,1894,0.9,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,