Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Boston Bruins,29.6,68,52,11,5,109,0.801,254,147,2,3,1.56,0,3.74,2.16,51,229,22.27,33,228,85.53,8,6,9.9,9.7,2245,11.3,2014,0.927,6
2,Carolina Hurricanes,29.2,68,45,15,8,98,0.721,225,175,4,2,0.74,-0.02,3.31,2.57,46,216,21.3,36,217,83.41,11,5,7.8,7.7,2372,9.5,1756,0.9,8
3,New Jersey Devils,26.6,69,44,18,7,95,0.688,239,185,2,4,0.75,0,3.46,2.68,41,193,21.24,36,198,81.82,7,7,7.7,8.1,2367,10.1,1954,0.905,4
4,Toronto Maple Leafs,28.5,69,42,18,9,93,0.674,236,185,1,2,0.71,-0.01,3.42,2.68,53,205,25.85,40,208,80.77,7,8,8.2,8.2,2193,10.8,2021,0.908,4
5,New York Rangers,27.5,69,40,19,10,90,0.652,228,189,4,2,0.6,0,3.3,2.74,49,210,23.33,39,197,80.2,8,5,7.7,9.2,2190,10.4,2024,0.907,2
6,Vegas Golden Knights,28.9,69,42,21,6,90,0.652,220,192,4,3,0.37,-0.05,3.19,2.78,36,173,20.81,34,164,79.27,8,2,7.2,8.1,2191,10,2125,0.91,3
7,Tampa Bay Lightning,29.8,70,42,22,6,90,0.643,243,211,3,2,0.44,-0.03,3.47,3.01,62,241,25.73,45,220,79.55,5,11,11.7,12.4,2255,10.8,2179,0.903,3
8,Los Angeles Kings,28.7,70,40,20,10,90,0.643,233,224,6,3,0.15,-0.02,3.33,3.2,56,233,24.03,56,232,75.86,5,8,8.5,9.2,2281,10.2,1966,0.886,2
9,Dallas Stars,28.2,70,38,19,13,89,0.636,240,191,3,3,0.67,-0.03,3.43,2.73,50,213,23.47,37,217,82.95,9,4,8.2,8.3,2263,10.6,2156,0.911,5
10,Colorado Avalanche,28,68,40,22,6,86,0.632,221,188,5,3,0.54,0.02,3.25,2.76,53,217,24.42,44,211,79.15,6,2,8.6,9.6,2253,9.8,2133,0.912,5
11,Minnesota Wild,29.1,69,39,22,8,86,0.623,198,184,7,4,0.2,-0.05,2.87,2.67,49,217,22.58,42,219,80.82,9,2,11.3,11.8,2167,9.1,2098,0.912,5
12,Edmonton Oilers,27.8,70,39,23,8,86,0.614,274,231,0,4,0.56,0,3.91,3.3,76,241,31.54,60,245,75.51,13,6,9.1,9.3,2314,11.8,2225,0.896,0
13,Seattle Kraken,29,69,38,24,7,83,0.601,240,220,0,3,0.24,0,3.48,3.19,39,200,19.5,51,199,74.37,4,8,8,8.2,2089,11.5,1913,0.885,3
14,Winnipeg Jets,28.5,70,39,28,3,81,0.579,214,198,1,1,0.22,-0.01,3.06,2.83,47,228,20.61,34,203,83.25,5,6,8.4,9.3,2125,10.1,2161,0.908,3
15,New York Islanders,29.3,71,36,27,8,80,0.563,208,191,0,5,0.17,0,2.93,2.69,33,200,16.5,36,201,82.09,5,5,8.4,8.2,2168,9.6,2229,0.914,7
16,Pittsburgh Penguins,30.9,69,34,25,10,78,0.565,222,225,1,1,0,0.05,3.22,3.26,51,238,21.43,44,220,80,5,5,8.5,9.2,2345,9.5,2302,0.902,1
17,Florida Panthers,28.5,69,35,27,7,77,0.558,240,232,2,1,0.18,0.05,3.48,3.36,52,234,22.22,64,248,74.19,5,8,11.9,11.4,2556,9.4,2197,0.894,2
18,Calgary Flames,29.7,70,31,24,15,77,0.55,219,213,2,3,0.09,0.02,3.13,3.04,42,215,19.53,42,237,82.28,8,5,9.7,8.6,2492,8.8,1899,0.888,1
19,Nashville Predators,28.6,67,34,25,8,76,0.567,187,193,4,2,-0.17,-0.11,2.79,2.88,38,206,18.45,40,222,81.98,3,6,10.1,9.2,2033,9.2,2229,0.913,1
20,Washington Capitals,31,70,33,30,7,73,0.521,216,211,2,3,0.07,0.01,3.09,3.01,45,216,20.83,33,192,82.81,4,5,7.9,9,2196,9.8,2117,0.9,5
21,Buffalo Sabres,26.2,68,33,29,6,72,0.529,247,247,1,2,0.01,0.03,3.63,3.63,56,224,25,54,192,71.88,8,7,7.6,8.5,2197,11.2,2261,0.891,1
22,Ottawa Senators,27.5,69,33,31,5,71,0.514,216,227,2,1,-0.15,-0.01,3.13,3.29,62,261,23.75,44,249,82.33,9,10,11.6,11.3,2299,9.4,2181,0.896,3
23,Detroit Red Wings,27.2,68,30,29,9,69,0.507,199,221,2,3,-0.31,0.03,2.93,3.25,49,235,20.85,45,206,78.16,5,12,8.2,8.9,1961,10.1,2089,0.894,3
24,St. Louis Blues,29.3,68,30,33,5,65,0.478,212,251,3,1,-0.55,-0.01,3.12,3.69,42,201,20.9,41,172,76.16,7,10,7.3,7.6,1965,10.8,2209,0.886,3
25,Vancouver Canucks,27.4,68,30,33,5,65,0.478,226,255,5,2,-0.35,0.03,3.32,3.75,51,226,22.57,63,200,68.5,11,11,9.1,10.3,2046,11,2114,0.879,0
26,Arizona Coyotes,26.4,70,27,32,11,65,0.464,196,241,3,3,-0.66,-0.01,2.8,3.44,40,205,19.51,63,264,76.14,5,3,11,8.7,1802,10.9,2510,0.904,4
27,Philadelphia Flyers,26.8,69,25,32,12,62,0.449,180,228,1,1,-0.61,0.08,2.61,3.3,30,193,15.54,52,197,73.6,11,8,10.4,9.3,2025,8.9,2167,0.895,2
28,Montreal Canadiens,27.2,70,27,37,6,60,0.429,194,260,4,2,-0.88,0.03,2.77,3.71,34,204,16.67,64,231,72.29,4,3,11.9,9.2,1920,10.1,2387,0.891,1
29,Anaheim Ducks,28.2,69,23,36,10,56,0.406,179,278,3,3,-1.43,0.01,2.59,4.03,31,192,16.15,63,230,72.61,1,6,11.2,9.8,1997,9,2696,0.897,1
30,Chicago Blackhawks,28.7,69,24,39,6,54,0.391,173,242,2,2,-1,0,2.51,3.51,34,203,16.75,46,200,77,6,8,9,9.4,1841,9.4,2346,0.897,2
31,San Jose Sharks,29.5,70,19,37,14,52,0.371,199,263,1,6,-1.02,-0.04,2.84,3.76,34,189,17.99,39,216,81.94,3,10,8.6,7.9,2097,9.5,2213,0.881,3
32,Columbus Blue Jackets,26.7,68,21,40,7,49,0.36,179,259,1,1,-1.14,0.04,2.63,3.81,35,181,19.34,47,204,76.96,5,8,8.1,7,2015,8.9,2389,0.892,0
,League Average,28.4,69,35,27,8,77,0.558,217,217,,,,,,,46,214,21.45,46,214,78.55,7,7,9.2,9.2,2164,10,2164,0.9,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,